attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,employment-allocation,,,,local-authority-eng:MEN,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MIK,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MOL,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MRT,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MSS,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:MSU,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NBL,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NDE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NDO,employment-allocation,2021-09-03T15:46:51.734Z,,2019-03-31
,employment-allocation,,,,local-authority-eng:NEA,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NEC,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NED,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NEL,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NET,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NEW,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NGM,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NHE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NKE,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NLN,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NNO,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NNUA,employment-allocation,2021-09-03T15:46:51.734Z,,
,employment-allocation,,,,local-authority-eng:NOR,employment-allocation,2021-09-03T15:46:51.734Z,,
